area,requirement_summary,current_feature_summary,user_value,primary_surface
Workspace setup,"Organize QA work by product and surface.","Projects with app types for web, API, Android, iOS, and unified coverage.","Keeps scope separated and easier to plan or review.","Projects, App Types"
Access control,"Protect the workspace and manage admin/member access.","Local login, Google sign-in, email verification, users, roles, and project membership controls.","Lets teams control who can enter, manage, and update the workspace.","Auth, People & Access"
Requirements traceability,"Track product scope before test design starts.","Requirements with priority, status, coverage mapping, and linked test cases.","Makes it easier to see what is covered and what still needs tests.","Requirements"
AI-assisted design,"Speed up early test design from requirement context.","AI preview and generation flows for requirement-based test case drafting.","Reduces manual authoring time for first-pass test coverage.","Requirements, Test Cases"
Reusable case authoring,"Create reusable test assets instead of one-off scripts.","Test cases with priority, status, parameter values, manual steps, web steps, and API steps.","Builds a reusable QA asset library instead of isolated checks.","Test Cases"
Shared step reuse,"Avoid rewriting repeated setup or reusable flows.","Shared step groups plus local grouped steps inside cases.","Improves consistency and reduces duplication across cases.","Test Cases, Shared Steps"
Suite planning,"Group reusable cases into execution-ready flows.","Nested suites with suite-to-case assignment and ordering.","Helps QA teams shape release or regression packs quickly.","Design"
External imports,"Bring existing QA assets into the workspace.","Bulk import from CSV, JUnit XML, TestNG XML, and Postman collections.","Speeds migration from existing tools and files.","Test Cases Import"
Execution management,"Run, track, and review test execution progress.","Executions, execution schedules, assignees, statuses, case snapshots, and result history.","Turns design assets into visible execution evidence.","Executions"
Execution context,"Run tests with environment and data context.","Test environments, test configurations, and test data sets tied to project or app scope.","Improves repeatability and makes runs easier to reproduce.","Test Environment, Configurations, Data Sets"
Evidence and risk review,"Keep proof and unstable areas visible after runs.","Execution results, pass/fail/blocked tracking, errors, logs, and hotspot visibility.","Supports release review, triage, and audit-friendly reporting.","Executions, Dashboard"
Integrations and workflow sync,"Connect QA work to external systems and services.","LLM, Jira, email sender, Google auth, and project sync workflows.","Keeps QAira connected to the wider delivery process.","Integrations"
Workspace feedback,"Capture improvement requests from users inside the tool.","Feedback records with title, message, status, and user attribution.","Creates a simple intake loop for tool improvements.","Feedback"
Operational visibility,"Show current scope, reusable assets, and execution health in one place.","Dashboard, workspace transactions, and activity summaries.","Helps teams decide what to fix, design, or run next.","Dashboard"
